date,ret,source
2023-01-03,-0.0131501691373703,backtest
2023-01-04,0.0024313888487074,backtest
2023-01-05,-0.0182088802690251,backtest
2023-01-06,0.0266714509268871,backtest
2023-01-09,0.0074338240874944,backtest
2023-01-10,0.0069354103030188,backtest
2023-01-11,0.0188627937017298,backtest
2023-01-12,0.0043603197459944,backtest
2023-01-13,0.0059162727135104,backtest
2023-01-17,0.0065568298980811,backtest
2023-01-18,-0.0117019233154852,backtest
2023-01-19,-0.0081292708877147,backtest
2023-01-20,0.0294020627431966,backtest
2023-01-23,0.0239743697931335,backtest
2023-01-24,-0.0012237694993094,backtest
2023-01-25,-0.0055304129272135,backtest
2023-01-26,0.0224782116089857,backtest
2023-01-27,0.0096211417562227,backtest
2023-01-30,-0.0223384985957583,backtest
2023-01-31,0.0162689798840187,backtest
2023-02-01,0.0228814244208492,backtest
2023-02-02,0.0395441173042471,backtest
2023-02-03,-0.009702189598937,backtest
2023-02-06,-0.0086323425706192,backtest
2023-02-07,0.0253645244260143,backtest
2023-02-08,-0.0188781929342545,backtest
2023-02-09,-0.0093871886087511,backtest
2023-02-10,-0.0063820173411658,backtest
2023-02-13,0.0163730340796212,backtest
2023-02-14,0.008592802680078,backtest
2023-02-15,0.0089911815680298,backtest
2023-02-16,-0.0197333009139468,backtest
2023-02-17,-0.0077908098250462,backtest
2023-02-21,-0.0249146984002822,backtest
2023-02-22,0.0001524980867246,backtest
2023-02-23,0.011345739587373,backtest
2023-02-24,-0.0186879734807232,backtest
2023-02-27,0.0085209028934642,backtest
2023-02-28,-0.0007933935091611,backtest
2023-03-01,-0.0074428083347447,backtest
2023-03-02,0.0090814747804093,backtest
2023-03-03,0.0227993350568309,backtest
2023-03-06,0.0030123831750266,backtest
2023-03-07,-0.0131196247290928,backtest
2023-03-08,0.0050117195702949,backtest
2023-03-09,-0.017468789847425,backtest
2023-03-10,-0.0133519996434579,backtest
2023-03-13,0.0095118891804975,backtest
2023-03-14,0.0247601541266609,backtest
2023-03-15,0.004058795970846,backtest
2023-03-16,0.0292872171390179,backtest
2023-03-17,-0.0033769162866722,backtest
2023-03-20,0.004257111875758,backtest
2023-03-21,0.0161649685562696,backtest
2023-03-22,-0.0123159211094935,backtest
2023-03-23,0.0140366548682179,backtest
2023-03-24,0.0026593417067517,backtest
2023-03-27,-0.0093892535797082,backtest
2023-03-28,-0.005428666123831,backtest
2023-03-29,0.0185200669888362,backtest
2023-03-30,0.0085551452887797,backtest
2023-03-31,0.0187802760499526,backtest
2023-04-03,-0.002610035615225,backtest
2023-04-04,-0.0044348274349893,backtest
2023-04-05,-0.0113485113774704,backtest
2023-04-06,0.0098181089046479,backtest
2023-04-10,-0.0031258644190053,backtest
2023-04-11,-0.0075311091730053,backtest
2023-04-12,-0.0072570074724381,backtest
2023-04-13,0.020924162795456,backtest
2023-04-14,-0.0017385182244894,backtest
2023-04-17,0.0002806251543225,backtest
2023-04-18,0.0004497740308927,backtest
2023-04-19,-0.0009544521561078,backtest
2023-04-20,-0.0095061290520053,backtest
2023-04-21,-0.0014766845002182,backtest
2023-04-24,-0.0029503623576119,backtest
2023-04-25,-0.0186122816456817,backtest
2023-04-26,0.0098607844910381,backtest
2023-04-27,0.0269141219409846,backtest
2023-04-28,0.0098012066409641,backtest
2023-05-01,0.0014566927449615,backtest
2023-05-02,-0.0092932409984757,backtest
2023-05-03,-0.0065414148456775,backtest
2023-05-04,-0.003667235869786,backtest
2023-05-05,0.0240879418596316,backtest
2023-05-08,0.0021115400901305,backtest
2023-05-09,-0.0069746741287079,backtest
2023-05-10,0.0118326665882295,backtest
2023-05-11,0.0026136565209681,backtest
2023-05-12,-0.0022901169436826,backtest
2023-05-15,0.0046536508150605,backtest
2023-05-16,0.0016254428533282,backtest
2023-05-17,0.0120574251793428,backtest
2023-05-18,0.017540513254663,backtest
2023-05-19,-0.0006920022437982,backtest
2023-05-22,0.0041800199689379,backtest
2023-05-23,-0.0146190088691013,backtest
2023-05-24,-0.005292720177421,backtest
2023-05-25,0.030789423851404,backtest
2023-05-26,0.0224453012543127,backtest
2023-05-30,0.0038136069356608,backtest
2023-05-31,-0.0060513543726726,backtest
2023-06-01,0.0140858445688387,backtest
2023-06-02,0.0082967309320602,backtest
2023-06-05,-0.0007204963506369,backtest
2023-06-06,-0.0003845376797755,backtest
2023-06-07,-0.0174606107038961,backtest
2023-06-08,0.011947149738564,backtest
2023-06-09,0.0042388330393992,backtest
2023-06-12,0.0178934875449457,backtest
2023-06-13,0.0079549471848701,backtest
2023-06-14,0.0080267719137674,backtest
2023-06-15,0.0129345866687261,backtest
2023-06-16,-0.0066500360969598,backtest
2023-06-20,-0.0008526315583047,backtest
2023-06-21,-0.0144456954848927,backtest
2023-06-22,0.0117661634127255,backtest
2023-06-23,-0.009780446265594,backtest
2023-06-26,-0.0158511088700004,backtest
2023-06-27,0.0178742011300389,backtest
2023-06-28,0.0023028888730075,backtest
2023-06-29,-0.0011981505841457,backtest
2023-06-30,0.0161355914538987,backtest
2023-07-03,0.0018742168250716,backtest
2023-07-05,-0.0007503213112121,backtest
2023-07-06,-0.0052367551590093,backtest
2023-07-07,-0.0051942558907216,backtest
2023-07-10,-0.0010318023938683,backtest
2023-07-11,0.0026155187257535,backtest
2023-07-12,0.0124295923928712,backtest
2023-07-13,0.0176268178002679,backtest
2023-07-14,0.0007461930425912,backtest
2023-07-17,0.0112683269480441,backtest
2023-07-18,0.0091247238392274,backtest
2023-07-19,-0.0030208628692365,backtest
2023-07-20,-0.0236707305950679,backtest
2023-07-21,-0.0031909071685709,backtest
2023-07-24,0.0040002513799964,backtest
2023-07-25,0.0089055354209857,backtest
2023-07-26,-0.0029566932357094,backtest
2023-07-27,-0.0036592609204554,backtest
2023-07-28,0.0200623175020216,backtest
2023-07-31,-0.0009212896701207,backtest
2023-08-01,-0.0024984131329475,backtest
2023-08-02,-0.0240312160688829,backtest
2023-08-03,-0.0009748788515255,backtest
2023-08-04,-0.0122861275144255,backtest
2023-08-07,0.0056177921822423,backtest
2023-08-08,-0.0078246592412686,backtest
2023-08-09,-0.0146267556489114,backtest
2023-08-10,0.0010000426490442,backtest
2023-08-11,-0.0074274999270717,backtest
2023-08-14,0.0147627978657298,backtest
2023-08-15,-0.010367867043935,backtest
2023-08-16,-0.0102340485702744,backtest
2023-08-17,-0.0104829078710959,backtest
2023-08-18,-0.0022553350497523,backtest
2023-08-21,0.0221128469622318,backtest
2023-08-22,-0.0007329213297941,backtest
2023-08-23,0.018876511663912,backtest
2023-08-24,-0.0216862341840993,backtest
2023-08-25,0.0076679280437471,backtest
2023-08-28,0.0076651421290914,backtest
2023-08-29,0.0247190836641088,backtest
2023-08-30,0.0071086963278046,backtest
2023-08-31,0.0017415047383277,backtest
2023-09-01,-0.0016660452151978,backtest
2023-09-05,0.0050820069174626,backtest
2023-09-06,-0.0129864549991011,backtest
2023-09-07,-0.0110680379214891,backtest
2023-09-08,0.0017559105273646,backtest
2023-09-11,0.012203721096899,backtest
2023-09-12,-0.0137063364443244,backtest
2023-09-13,0.0042127310329774,backtest
2023-09-14,0.0087045782387941,backtest
2023-09-15,-0.0170374791138054,backtest
2023-09-18,0.0023729249728987,backtest
2023-09-19,-0.0004908957216925,backtest
2023-09-20,-0.018057704355021,backtest
2023-09-21,-0.0162551534824638,backtest
2023-09-22,9.768616159932209e-05,backtest
2023-09-25,0.0050019313565641,backtest
2023-09-26,-0.0150089882761492,backtest
2023-09-27,0.0014211418475338,backtest
2023-09-28,0.009441544283362,backtest
2023-09-29,0.0018660328710206,backtest
2023-10-02,0.0127143113933525,backtest
2023-10-03,-0.017861459351928,backtest
2023-10-04,0.01600831338074,backtest
2023-10-05,-0.0004296862097072,backtest
2023-10-06,0.0180248364387517,backtest
2023-10-09,0.0044111190211216,backtest
2023-10-10,0.0041045054574103,backtest
2023-10-11,0.0089138666055343,backtest
2023-10-12,-0.0034893186491786,backtest
2023-10-13,-0.0140974264310218,backtest
2023-10-16,0.0108834230050455,backtest
2023-10-17,-0.0045262642390937,backtest
2023-10-18,-0.0142746247162802,backtest
2023-10-19,-0.0106964456785014,backtest
2023-10-20,-0.0153951626879715,backtest
2023-10-23,0.004780620062877,backtest
2023-10-24,0.0088564863960032,backtest
2023-10-25,-0.0228748511610987,backtest
2023-10-26,-0.0237097471657035,backtest
2023-10-27,0.0046355475045806,backtest
2023-10-30,0.009416188643373,backtest
2023-10-31,0.0038436051290854,backtest
2023-11-01,0.0203077858087687,backtest
2023-11-02,0.0177870703936099,backtest
2023-11-03,0.0114021966906459,backtest
2023-11-06,0.0065279177887727,backtest
2023-11-07,0.0101869362868533,backtest
2023-11-08,0.004050084625152,backtest
2023-11-09,-0.0080668148267911,backtest
2023-11-10,0.0233731394063656,backtest
2023-11-13,-0.0021782708438952,backtest
2023-11-14,0.0198336409785502,backtest
2023-11-15,0.0007563030332425,backtest
2023-11-16,0.0045323233445089,backtest
2023-11-17,-0.0028940454255588,backtest
2023-11-20,0.0127671522080945,backtest
2023-11-21,-0.0046425223662322,backtest
2023-11-22,0.0031149568820435,backtest
2023-11-24,-0.003773720654824,backtest
2023-11-27,-0.0007827657009987,backtest
2023-11-28,0.0045566104928869,backtest
2023-11-29,-0.0036378092233177,backtest
2023-11-30,-0.0042850582469157,backtest
2023-12-01,0.0007545071536154,backtest
2023-12-04,-0.0121396827885658,backtest
2023-12-05,0.0070684559094209,backtest
2023-12-06,-0.0071184410297433,backtest
2023-12-07,0.0170929621731483,backtest
2023-12-08,0.0052241657404249,backtest
2023-12-11,0.0013281497315019,backtest
2023-12-12,0.0078783816987528,backtest
2023-12-13,0.0099862894531027,backtest
2023-12-14,-0.0012071623528805,backtest
2023-12-15,0.005280955864558,backtest
2023-12-18,0.005449339900368,backtest
2023-12-19,0.004969359437205,backtest
2023-12-20,-0.0132418414577697,backtest
2023-12-21,0.0120734869904233,backtest
2023-12-22,0.0007538261359668,backtest
2023-12-26,0.0043227307363286,backtest
2023-12-27,0.0009895229923608,backtest
2023-12-28,-0.0003463603455462,backtest
2023-12-29,-0.0038136053760052,backtest
2024-01-02,-0.0194670133977003,backtest
2024-01-03,-0.0091696367129396,backtest
2024-01-04,-0.0057575151943888,backtest
2024-01-05,0.0009348137140625,backtest
2024-01-08,0.0241004932452525,backtest
2024-01-09,0.0021543800872576,backtest
2024-01-10,0.0096164888954688,backtest
2024-01-11,0.0006209669119785,backtest
2024-01-12,0.001041527862937,backtest
2024-01-16,0.0014005327140436,backtest
2024-01-17,-0.0056479577228101,backtest
2024-01-18,0.016816748781508,backtest
2024-01-19,0.0198603573549363,backtest
2024-01-22,0.001416626028294,backtest
2024-01-23,0.004586286488265,backtest
2024-01-24,0.0049302209342683,backtest
2024-01-25,-0.0014787458644159,backtest
2024-01-26,-0.0067326825952081,backtest
2024-01-29,0.0113533087887966,backtest
2024-01-30,-0.0072800394418869,backtest
2024-01-31,-0.0251428909571262,backtest
2024-02-01,0.0130629249793772,backtest
2024-02-02,0.0202139458346011,backtest
2024-02-05,0.001814487660702,backtest
2024-02-06,-0.0007161468910507,backtest
2024-02-07,0.0129578839190794,backtest
2024-02-08,0.0017854760133977,backtest
2024-02-09,0.0120204469588576,backtest
2024-02-12,-0.006540419812441,backtest
2024-02-13,-0.0154781819902501,backtest
2024-02-14,0.0104422341695959,backtest
2024-02-15,-0.0009847681433349,backtest
